index,REGIÃO,ESTADO,VALOR REVENDA (R$/L),DATA,ANO
12090,SUL,SANTA CATARINA,2.07,2004-05-12,2004
12089,SUL,RIO GRANDE DO SUL,2.135,2004-05-12,2004
12088,SUL,PARANA,1.966,2004-05-12,2004
12086,SUDESTE,RIO DE JANEIRO,2.045,2004-05-12,2004
12066,CENTRO OESTE,MATO GROSSO,2.358,2004-05-12,2004
12067,CENTRO OESTE,MATO GROSSO DO SUL,2.12,2004-05-12,2004
12068,NORDESTE,ALAGOAS,2.09,2004-05-12,2004
12069,NORDESTE,BAHIA,2.04,2004-05-12,2004
12070,NORDESTE,CEARA,2.148,2004-05-12,2004
12071,NORDESTE,MARANHAO,2.089,2004-05-12,2004
12072,NORDESTE,PARAIBA,1.989,2004-05-12,2004
12073,NORDESTE,PERNAMBUCO,2.008,2004-05-12,2004
12074,NORDESTE,PIAUI,2.099,2004-05-12,2004
12087,SUDESTE,SAO PAULO,1.891,2004-05-12,2004
12075,NORDESTE,RIO GRANDE DO NORTE,1.98,2004-05-12,2004
12077,NORTE,ACRE,2.388,2004-05-12,2004
12078,NORTE,AMAPA,2.175,2004-05-12,2004
12079,NORTE,AMAZONAS,2.044,2004-05-12,2004
12080,NORTE,PARA,2.332,2004-05-12,2004
12081,NORTE,RONDONIA,2.336,2004-05-12,2004
12082,NORTE,RORAIMA,1.995,2004-05-12,2004
12083,NORTE,TOCANTINS,2.089,2004-05-12,2004
12084,SUDESTE,ESPIRITO SANTO,2.026,2004-05-12,2004
12085,SUDESTE,MINAS GERAIS,1.981,2004-05-12,2004
12076,NORDESTE,SERGIPE,1.968,2004-05-12,2004
12065,CENTRO OESTE,GOIAS,2.025,2004-05-12,2004
12064,CENTRO OESTE,DISTRITO FEDERAL,2.029,2004-05-12,2004
12091,CENTRO OESTE,DISTRITO FEDERAL,2.025,2004-05-19,2004
12092,CENTRO OESTE,GOIAS,2.027,2004-05-19,2004
12093,CENTRO OESTE,MATO GROSSO,2.354,2004-05-19,2004
12094,CENTRO OESTE,MATO GROSSO DO SUL,2.114,2004-05-19,2004
12095,NORDESTE,ALAGOAS,2.089,2004-05-19,2004
12096,NORDESTE,BAHIA,2.045,2004-05-19,2004
12097,NORDESTE,CEARA,2.147,2004-05-19,2004
12098,NORDESTE,MARANHAO,2.07,2004-05-19,2004
12099,NORDESTE,PARAIBA,1.987,2004-05-19,2004
12100,NORDESTE,PERNAMBUCO,2.012,2004-05-19,2004
12101,NORDESTE,PIAUI,2.099,2004-05-19,2004
12102,NORDESTE,RIO GRANDE DO NORTE,1.97,2004-05-19,2004
12103,NORDESTE,SERGIPE,1.969,2004-05-19,2004
12105,NORTE,AMAPA,2.235,2004-05-19,2004
12106,NORTE,AMAZONAS,2.042,2004-05-19,2004
12107,NORTE,PARA,2.329,2004-05-19,2004
12108,NORTE,RONDONIA,2.326,2004-05-19,2004
12109,NORTE,RORAIMA,1.995,2004-05-19,2004
12110,NORTE,TOCANTINS,2.091,2004-05-19,2004
12111,SUDESTE,ESPIRITO SANTO,2.014,2004-05-19,2004
12112,SUDESTE,MINAS GERAIS,1.978,2004-05-19,2004
12113,SUDESTE,RIO DE JANEIRO,2.04,2004-05-19,2004
12114,SUDESTE,SAO PAULO,1.888,2004-05-19,2004
12115,SUL,PARANA,1.961,2004-05-19,2004
12116,SUL,RIO GRANDE DO SUL,2.136,2004-05-19,2004
12117,SUL,SANTA CATARINA,2.067,2004-05-19,2004
12104,NORTE,ACRE,2.438,2004-05-19,2004
12118,CENTRO OESTE,DISTRITO FEDERAL,2.024,2004-05-26,2004
12119,CENTRO OESTE,GOIAS,2.028,2004-05-26,2004
12120,CENTRO OESTE,MATO GROSSO,2.36,2004-05-26,2004
12122,NORDESTE,ALAGOAS,2.089,2004-05-26,2004
12123,NORDESTE,BAHIA,2.045,2004-05-26,2004
12124,NORDESTE,CEARA,2.147,2004-05-26,2004
12125,NORDESTE,MARANHAO,2.067,2004-05-26,2004
12126,NORDESTE,PARAIBA,1.99,2004-05-26,2004
12121,CENTRO OESTE,MATO GROSSO DO SUL,2.114,2004-05-26,2004
12127,NORDESTE,PERNAMBUCO,1.967,2004-05-26,2004
12128,NORDESTE,PIAUI,2.099,2004-05-26,2004
12129,NORDESTE,RIO GRANDE DO NORTE,1.969,2004-05-26,2004
12130,NORDESTE,SERGIPE,1.967,2004-05-26,2004
12143,SUL,RIO GRANDE DO SUL,2.133,2004-05-26,2004
12142,SUL,PARANA,1.963,2004-05-26,2004
12141,SUDESTE,SAO PAULO,1.894,2004-05-26,2004
12140,SUDESTE,RIO DE JANEIRO,2.042,2004-05-26,2004
12139,SUDESTE,MINAS GERAIS,1.98,2004-05-26,2004
12138,SUDESTE,ESPIRITO SANTO,2.019,2004-05-26,2004
12137,NORTE,TOCANTINS,2.101,2004-05-26,2004
12136,NORTE,RORAIMA,1.995,2004-05-26,2004
12135,NORTE,RONDONIA,2.339,2004-05-26,2004
12134,NORTE,PARA,2.328,2004-05-26,2004
12133,NORTE,AMAZONAS,2.05,2004-05-26,2004
12132,NORTE,AMAPA,2.235,2004-05-26,2004
12131,NORTE,ACRE,2.438,2004-05-26,2004
12144,SUL,SANTA CATARINA,2.065,2004-05-26,2004
12146,CENTRO OESTE,GOIAS,2.033,2004-06-02,2004
12145,CENTRO OESTE,DISTRITO FEDERAL,2.059,2004-06-02,2004
12147,CENTRO OESTE,MATO GROSSO,2.365,2004-06-02,2004
12148,CENTRO OESTE,MATO GROSSO DO SUL,2.129,2004-06-02,2004
12149,NORDESTE,ALAGOAS,2.089,2004-06-02,2004
12150,NORDESTE,BAHIA,2.044,2004-06-02,2004
12171,SUL,SANTA CATARINA,2.08,2004-06-02,2004
12170,SUL,RIO GRANDE DO SUL,2.157,2004-06-02,2004
12169,SUL,PARANA,1.993,2004-06-02,2004
12168,SUDESTE,SAO PAULO,1.912,2004-06-02,2004
12167,SUDESTE,RIO DE JANEIRO,2.053,2004-06-02,2004
12166,SUDESTE,MINAS GERAIS,1.995,2004-06-02,2004
12165,SUDESTE,ESPIRITO SANTO,2.033,2004-06-02,2004
12164,NORTE,TOCANTINS,2.107,2004-06-02,2004
12163,NORTE,RORAIMA,1.995,2004-06-02,2004
12162,NORTE,RONDONIA,2.336,2004-06-02,2004
12161,NORTE,PARA,2.328,2004-06-02,2004
12160,NORTE,AMAZONAS,2.044,2004-06-02,2004
12159,NORTE,AMAPA,2.291,2004-06-02,2004
12158,NORTE,ACRE,2.435,2004-06-02,2004
12157,NORDESTE,SERGIPE,1.967,2004-06-02,2004
12156,NORDESTE,RIO GRANDE DO NORTE,1.951,2004-06-02,2004
12155,NORDESTE,PIAUI,2.097,2004-06-02,2004
12154,NORDESTE,PERNAMBUCO,1.966,2004-06-02,2004
12153,NORDESTE,PARAIBA,1.999,2004-06-02,2004
12152,NORDESTE,MARANHAO,2.075,2004-06-02,2004
12151,NORDESTE,CEARA,2.148,2004-06-02,2004
12192,SUDESTE,ESPIRITO SANTO,2.036,2004-06-09,2004
12193,SUDESTE,MINAS GERAIS,2.005,2004-06-09,2004
12194,SUDESTE,RIO DE JANEIRO,2.063,2004-06-09,2004
12198,SUL,SANTA CATARINA,2.085,2004-06-09,2004
12197,SUL,RIO GRANDE DO SUL,2.159,2004-06-09,2004
12196,SUL,PARANA,2.001,2004-06-09,2004
12195,SUDESTE,SAO PAULO,1.919,2004-06-09,2004
12191,NORTE,TOCANTINS,2.105,2004-06-09,2004
12190,NORTE,RORAIMA,1.995,2004-06-09,2004
12188,NORTE,PARA,2.35,2004-06-09,2004
12172,CENTRO OESTE,DISTRITO FEDERAL,2.054,2004-06-09,2004
12173,CENTRO OESTE,GOIAS,2.035,2004-06-09,2004
12174,CENTRO OESTE,MATO GROSSO,2.364,2004-06-09,2004
12189,NORTE,RONDONIA,2.337,2004-06-09,2004
12176,NORDESTE,ALAGOAS,2.089,2004-06-09,2004
12175,CENTRO OESTE,MATO GROSSO DO SUL,2.138,2004-06-09,2004
12178,NORDESTE,CEARA,2.147,2004-06-09,2004
12179,NORDESTE,MARANHAO,2.082,2004-06-09,2004
12180,NORDESTE,PARAIBA,1.999,2004-06-09,2004
12181,NORDESTE,PERNAMBUCO,2.014,2004-06-09,2004
12182,NORDESTE,PIAUI,2.12,2004-06-09,2004
12183,NORDESTE,RIO GRANDE DO NORTE,1.949,2004-06-09,2004
12184,NORDESTE,SERGIPE,1.988,2004-06-09,2004
12185,NORTE,ACRE,2.437,2004-06-09,2004
12186,NORTE,AMAPA,2.337,2004-06-09,2004
12187,NORTE,AMAZONAS,2.059,2004-06-09,2004
12177,NORDESTE,BAHIA,2.064,2004-06-09,2004
12218,NORTE,TOCANTINS,2.151,2004-06-16,2004
12207,NORDESTE,PARAIBA,2.026,2004-06-16,2004
12208,NORDESTE,PERNAMBUCO,2.031,2004-06-16,2004
12209,NORDESTE,PIAUI,2.141,2004-06-16,2004
12210,NORDESTE,RIO GRANDE DO NORTE,2.039,2004-06-16,2004
12211,NORDESTE,SERGIPE,2.007,2004-06-16,2004
12212,NORTE,ACRE,2.437,2004-06-16,2004
12213,NORTE,AMAPA,2.376,2004-06-16,2004
12214,NORTE,AMAZONAS,2.061,2004-06-16,2004
12216,NORTE,RONDONIA,2.349,2004-06-16,2004
12217,NORTE,RORAIMA,2.009,2004-06-16,2004
12219,SUDESTE,ESPIRITO SANTO,2.051,2004-06-16,2004
12220,SUDESTE,MINAS GERAIS,2.032,2004-06-16,2004
12215,NORTE,PARA,2.373,2004-06-16,2004
12202,CENTRO OESTE,MATO GROSSO DO SUL,2.161,2004-06-16,2004
12221,SUDESTE,RIO DE JANEIRO,2.085,2004-06-16,2004
12222,SUDESTE,SAO PAULO,1.958,2004-06-16,2004
12223,SUL,PARANA,2.06,2004-06-16,2004
12224,SUL,RIO GRANDE DO SUL,2.223,2004-06-16,2004
12204,NORDESTE,BAHIA,2.095,2004-06-16,2004
12203,NORDESTE,ALAGOAS,2.119,2004-06-16,2004
